iter	Passed	Remaining
404	8325	12230
405	8345	12209
406	8365	12188
407	8385	12166
408	8407	12149
409	8429	12130
410	8449	12108
411	8469	12088
412	8490	12067
413	8509	12044
414	8529	12023
415	8551	12004
416	8570	11982
417	8591	11961
418	8611	11940
419	8631	11919
420	8652	11899
421	8670	11875
422	8691	11855
423	8711	11835
424	8736	11820
425	8758	11801
426	8777	11778
427	8797	11756
428	8816	11734
429	8835	11712
430	8855	11690
431	8877	11672
432	8898	11651
433	8917	11630
434	8939	11610
435	8965	11597
436	8988	11579
437	9007	11558
438	9030	11539
439	9054	11524
440	9074	11503
441	9095	11482
442	9123	11470
443	9141	11448
444	9161	11426
445	9181	11404
446	9200	11382
447	9222	11363
448	9241	11341
449	9262	11320
450	9281	11298
451	9302	11277
452	9324	11259
453	9342	11235
454	9362	11214
455	9387	11199
456	9409	11179
457	9428	11157
458	9448	11136
459	9467	11114
460	9488	11093
461	9509	11073
462	9529	11052
463	9549	11031
464	9569	11010
465	9590	10989
466	9614	10973
467	9641	10960
468	9665	10942
469	9683	10919
470	9703	10898
471	9727	10881
472	9750	10863
473	9778	10851
474	9796	10828
475	9821	10811
476	9841	10790
477	9864	10772
478	9885	10751
479	9905	10730
480	9927	10711
481	9950	10693
482	9970	10672
483	9990	10651
484	10010	10629
485	10029	10607
486	10050	10587
487	10074	10569
488	10093	10548
489	10115	10528
490	10136	10507
491	10155	10486
492	10176	10465
493	10195	10442
494	10215	10421
495	10239	10404
496	10259	10383
497	10280	10362
498	10301	10342
499	10324	10324
500	10344	10303
501	10365	10282
502	10384	10260
503	10409	10243
504	10428	10222
505	10447	10200
506	10468	10179
507	10488	10157
508	10509	10137
509	10528	10115
510	10548	10094
511	10569	10073
512	10589	10052
513	10610	10032
514	10631	10011
515	10652	9991
516	10674	9972
517	10694	9951
518	10716	9931
519	10737	9911
520	10757	9890
521	10777	9869
522	10797	9847
523	10815	9824
524	10836	9804
525	10857	9784
526	10877	9763
527	10897	9741
528	10919	9722
529	10940	9701
530	10961	9681
531	10982	9661
532	11004	9641
533	11023	9619
534	11044	9599
535	11067	9580
536	11091	9563
537	11111	9541
538	11130	9519
539	11150	9498
540	11170	9477
541	11191	9456
542	11212	9436
543	11232	9415
544	11253	9394
545	11274	9374
546	11297	9356
547	11317	9334
548	11337	9313
549	11359	9293
550	11381	9274
551	11403	9254
552	11424	9234
553	11442	9212
554	11461	9189
555	11482	9169
556	11507	9151
557	11526	9130
558	11546	9109
559	11567	9088
560	11587	9067
561	11607	9046
562	11627	9025
563	11647	9003
564	11666	8982
565	11688	8962
566	11711	8943
567	11730	8922
568	11751	8901
569	11771	8880
570	11790	8858
571	11810	8837
572	11832	8817
573	11858	8800
574	11879	8780
575	11899	8759
576	11925	8742
577	11946	8722
578	11966	8700
579	11988	8680
580	12009	8661
581	12034	8643
582	12056	8623
583	12077	8602
584	12097	8582
585	12117	8560
586	12138	8540
587	12156	8517
588	12175	8496
589	12195	8474
590	12217	8455
591	12238	8434
592	12259	8414
593	12282	8394
594	12303	8374
595	12323	8353
596	12347	8335
597	12372	8316
598	12390	8294
599	12409	8273
600	12431	8253
601	12450	8231
602	12469	8209
603	12489	8188
604	12508	8166
605	12530	8146
606	12551	8126
607	12571	8105
608	12592	8084
609	12612	8063
610	12631	8041
611	12651	8020
612	12670	7999
613	12695	7981
614	12717	7961
615	12735	7939
616	12755	7918
617	12781	7900
618	12801	7879
619	12820	7858
620	12841	7837
621	12860	7815
622	12884	7796
623	12907	7777
624	12927	7756
625	12947	7735
626	12967	7714
627	12988	7693
628	13008	7672
629	13031	7653
630	13054	7633
631	13073	7612
632	13092	7591
633	13112	7569
634	13131	7547
635	13151	7527
636	13170	7505
637	13190	7484
638	13212	7464
639	13232	7443
640	13255	7424
641	13283	7407
642	13302	7385
643	13321	7364
644	13342	7343
645	13365	7324
646	13386	7303
647	13405	7282
648	13425	7260
649	13445	7239
650	13465	7218
651	13485	7197
652	13505	7176
653	13524	7155
654	13545	7134
655	13565	7113
656	13586	7092
657	13608	7073
658	13631	7053
659	13651	7032
660	13671	7011
661	13693	6991
662	13714	6971
663	13734	6950
664	13754	6928
665	13774	6907
666	13795	6887
667	13816	6866
668	13835	6845
669	13855	6824
670	13878	6804
671	13900	6784
672	13920	6763
673	13942	6743
674	13962	6722
675	13981	6701
676	14003	6680
677	14027	6662
678	14052	6643
679	14072	6622
680	14093	6601
681	14111	6579
682	14132	6559
683	14152	6538
684	14172	6517
685	14200	6499
686	14220	6478
687	14241	6458
688	14265	6439
689	14285	6418
690	14306	6397
691	14326	6376
692	14347	6356
693	14371	6336
694	14392	6316
695	14411	6294
696	14431	6273
697	14450	6252
698	14475	6233
699	14496	6212
700	14515	6191
701	14536	6170
702	14557	6150
703	14577	6129
704	14599	6108
705	14618	6087
706	14638	6066
707	14658	6045
708	14678	6024
709	14701	6005
710	14723	5984
711	14742	5963
712	14763	5942
713	14784	5922
714	14804	5901
715	14825	5880
716	14845	5859
717	14866	5838
718	14894	5821
719	14914	5799
